TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ,AOI_IND,AOI_X,AOI_Y,MEAN_ERR,STD ERR
2977.158,256,1,-4.0089,20.9082,28.928,0.113,-0.4530057,2.3626266,2.760283058,5.16864504,0.010790705,-8.35916689,5.124248824,3.941232549,1.183016275,0,0,0,0,0
2999.364,256,1,-6.3372,23.2751,28.928,0.113,-0.7161036,2.6300863,2.760283058,5.157106406,0.010790705,-8.307007287,5.124248824,3.966884396,1.157364428,0,0,0,0,0
3064.96638,256,1,-6.568,23.8868,28.928,0.113,-0.742184,2.6992084,2.760283058,5.15836219,0.010790705,-8.300479064,5.124248824,3.970726137,1.153522687,0,0,0,0,0
3098.99779,256,1,-7.225,22.5142,28.928,0.113,-0.816425,2.5441046,2.760283058,5.157117803,0.010790705,-8.320013875,5.124248824,3.955614851,1.168633973,0,0,0,0,0
3134.69254,256,1,-2.2902,25.1641,28.928,0.113,-0.2587926,2.8435433,2.760283058,5.207300838,0.010790705,-8.301915138,5.124248824,3.979441753,1.144807071,0,0,0,0,0
3176.68085,256,1,-5.1201,20.3157,28.928,0.113,-0.5785713,2.2956741,2.760283058,5.185578906,0.010790705,-8.370588917,5.124248824,3.927528038,1.196720786,0,0,0,0,0
3210.17109,256,1,-3.1169,20.7783,28.928,0.113,-0.3522097,2.3479479,2.760283058,5.198938731,0.010790705,-8.365164621,5.124248824,3.930378706,1.193870118,0,0,0,0,0
3243.11374,256,1,25.2229,31.4051,28.928,0.113,2.8501877,3.5487763,2.760283058,5.46305412,0.010790705,-8.282835311,5.124248824,4.036276637,1.087972187,0,0,0,0,0
3258.743,256,1,179.3204,32.7287,28.928,0.113,20.2632052,3.6983431,2.760283058,7.012037899,0.010790705,-8.287107832,5.124248824,4.399491525,0.724757299,0,0,0,0,0
3309.85527,256,1,278.0025,34.0295,28.928,0.113,31.4142825,3.8453335,2.760283058,7.990416519,0.010790705,-8.259910162,5.124248824,4.856984288,0.267264537,0,0,0,0,0
3343.52258,256,1,277.7657,25.1762,28.928,0.113,31.3875241,2.8449106,2.760283058,7.984426809,0.010790705,-8.326827651,5.124248824,4.789682096,0.334566728,0,0,0,0,0
3386.35287,256,1,270.6233,24.2878,28.928,0.113,30.5804329,2.7445214,2.760283058,7.90251398,0.010790705,-8.340489585,5.124248824,4.747372952,0.376875873,0,0,0,0,0
3419.61483,256,1,275.5515,18.9169,28.928,0.113,31.1373195,2.1376097,2.760283058,7.939737962,0.010790705,-8.406814562,5.124248824,4.730878535,0.393370289,0,0,0,0,0
3452.97279,256,1,260.6413,20.6269,28.928,0.113,29.4524669,2.3308397,2.760283058,7.786977326,0.010790705,-8.382489659,5.124248824,4.67074904,0.453499784,0,0,0,0,0
3486.1999,256,1,252.348,17.1614,28.928,0.113,28.515324,1.9392382,2.760283058,7.702279675,0.010790705,-8.409688744,5.124248824,4.601099807,0.523149017,0,0,0,0,0
